case_id	species	assembly	assembly_name	genome_url	gff_url	protein_url	target_gene	notes
hdac3	Drosophila_ananassae	GCF_017639315.1	ASM1763931v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/639/315/GCF_017639315.1_ASM1763931v2/GCF_017639315.1_ASM1763931v2_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/639/315/GCF_017639315.1_ASM1763931v2/GCF_017639315.1_ASM1763931v2_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/639/315/GCF_017639315.1_ASM1763931v2/GCF_017639315.1_ASM1763931v2_protein.faa.gz	6500490	GFF ID gene-LOC6500490; Annotation Release 102
hdac3	Drosophila_melanogaster	GCF_000001215.4	Release_6_plus_ISO1_MT	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.gff.gz		44446	GFF ID gene-Dmel_CG2128; FlyBase Release 6.54; existing genome/GFF resources
hdac3	Drosophila_simulans	GCF_016746395.2	Prin_Dsim_3.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/746/395/GCF_016746395.2_Prin_Dsim_3.1/GCF_016746395.2_Prin_Dsim_3.1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/746/395/GCF_016746395.2_Prin_Dsim_3.1/GCF_016746395.2_Prin_Dsim_3.1_genomic.gff.gz		6726814	GFF ID gene-LOC6726814; Annotation Release 103; existing genome/GFF resources
hdac3	Drosophila_yakuba	GCF_016746365.2	Prin_Dyak_Tai18E2_2.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/746/365/GCF_016746365.2_Prin_Dyak_Tai18E2_2.1/GCF_016746365.2_Prin_Dyak_Tai18E2_2.1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/746/365/GCF_016746365.2_Prin_Dyak_Tai18E2_2.1/GCF_016746365.2_Prin_Dyak_Tai18E2_2.1_genomic.gff.gz		6535413	GFF ID gene-LOC6535413; Annotation Release 102; existing genome/GFF resources
