layer	object_id	model	fitted_rate	log_likelihood	aic	bic	observed_tip_count
element_presence	EG_Adh_A	ctmc_mk_branch_length	0.005	-0.733222	3.46644	3.07588	5
element_role_state	EG_Adh_A	ctmc_mk_branch_length	0.005	-1.64953	5.29906	4.9085	5
element_presence	EG_yande_Y	ctmc_mk_branch_length	0.005	-0.733222	3.46644	3.07588	5
element_role_state	EG_yande_Y	ctmc_mk_branch_length	0.18	-5.69126	13.3825	12.9919	5
element_adjacency_state	EG_yande_Y__EG_Adh_A	ctmc_mk_branch_length	1	-3.56393	9.12787	8.73731	5
source_mixture	jingwei	ctmc_mk_branch_length	0.18	-5.08068	12.1614	11.7708	5
copy_multiplicity	jingwei	ctmc_mk_branch_length	0.005	-1.83185	5.66371	5.27315	5
