family_id	event_class	structural_change_type	structural_pattern	call_scope	object_id	branch_scope	evidence_layer	support_tier	lrt_p_value	lrt_q_value	empirical_p_value	fitted_rate	ctmc_change_probability	stochastic_pr_any_change	evidence_count	alternative_explanation
jingwei	exonization_candidate	exonization_candidate	exonization_candidate	core_structural_event	EG_yande_Y	yak_tei->jgw_clade	element_role_state	high	3.59094e-12	8.93314e-12	0.166667	0.18	0.829911	1	7	annotation_gap_or_mapping_ambiguity_if_sequence_support_low
jingwei	segment_fusion_or_new_adjacency	segment_fusion_or_new_adjacency	segment_fusion_or_new_adjacency	core_structural_event	EG_yande_Y__EG_Adh_A	yak_tei->jgw_clade	element_adjacency_state	high	8.15085e-13	5.70559e-12	0.166667	1	0.987301	1	7	annotation_gap_or_mapping_ambiguity_if_sequence_support_low
jingwei	chimeric_origin_or_source_mixing	chimeric_origin_or_source_mixing	chimeric_origin_or_source_mixing	core_structural_event	jingwei	yak_tei->jgw_clade	source_mixture	high	3.82849e-12	8.93314e-12	0.166667	0.18	0.723116	0.6	7	annotation_gap_or_mapping_ambiguity_if_sequence_support_low
jingwei	chimeric_source_join_candidate	chimeric_source_join_candidate	chimeric_source_join_candidate	core_structural_event	EG_yande_Y__EG_Adh_A	yak_tei->jgw_clade	element_adjacency_state	high	8.15085e-13	5.70559e-12	0.166667	1	0.987301	1	7	paralogy_or_homology_assignment_error_if_low_support
jingwei	chimeric_source_join_candidate	chimeric_source_join_candidate	chimeric_source_join_candidate	core_structural_event	EG_yande_Y__EG_Adh_A	yak_tei->jgw_clade	element_adjacency_state	high	8.15085e-13	5.70559e-12	0.166667	1	0.987301	1	7	paralogy_or_homology_assignment_error_if_low_support
jingwei	sequence_supported_annotation_gap	sequence_supported_annotation_gap	sequence_supported_annotation_gap	annotation_evidence	EG_yande_Y	tip_or_alignment_evidence_requires_phylogenetic_context	annotation_completion	moderate	NA	NA	NA	NA	NA	NA	2	annotation_dropout_or_shifted_boundary_if_sequence_support_is_partial
