layer	object_id	score	node_id	node_label	state	probability	is_parsimony_best
element_presence	EG_yande_Y	0	jgw_clade	jgw_clade	present	0.982014	1
element_presence	EG_yande_Y	0	Dyak	Dyak	absent	0	0
element_presence	EG_yande_Y	0	Dyak	Dyak	present	1	1
element_presence	EG_yande_Y	0	Dtei	Dtei	absent	0	0
element_presence	EG_yande_Y	0	Dtei	Dtei	present	1	1
element_role_state	EG_yande_Y	1	root	root	CDS	0.222033	0
element_role_state	EG_yande_Y	1	root	root	absent	0.0110544	0
element_role_state	EG_yande_Y	1	root	root	exon_or_UTR	0.0816815	0
element_role_state	EG_yande_Y	1	root	root	non_exonic_source	0.603549	1
element_role_state	EG_yande_Y	1	root	root	unknown	0.0816815	0
element_role_state	EG_yande_Y	1	mel_group	mel_group	CDS	0.0950174	0
element_role_state	EG_yande_Y	1	mel_group	mel_group	absent	0.0128592	0
element_role_state	EG_yande_Y	1	mel_group	mel_group	exon_or_UTR	0.0950174	0
element_role_state	EG_yande_Y	1	mel_group	mel_group	non_exonic_source	0.702089	1
element_role_state	EG_yande_Y	1	mel_group	mel_group	unknown	0.0950174	0
element_role_state	EG_yande_Y	1	Dmel	Dmel	CDS	0	0
element_role_state	EG_yande_Y	1	Dmel	Dmel	absent	0	0
element_role_state	EG_yande_Y	1	Dmel	Dmel	exon_or_UTR	0	0
element_role_state	EG_yande_Y	1	Dmel	Dmel	non_exonic_source	1	1
element_role_state	EG_yande_Y	1	Dmel	Dmel	unknown	0	0
element_role_state	EG_yande_Y	1	Dsim	Dsim	CDS	0	0
element_role_state	EG_yande_Y	1	Dsim	Dsim	absent	0	0
element_role_state	EG_yande_Y	1	Dsim	Dsim	exon_or_UTR	0	0
element_role_state	EG_yande_Y	1	Dsim	Dsim	non_exonic_source	1	1
element_role_state	EG_yande_Y	1	Dsim	Dsim	unknown	0	0
element_role_state	EG_yande_Y	1	yak_tei	yak_tei	CDS	0.358996	0
element_role_state	EG_yande_Y	1	yak_tei	yak_tei	absent	0.0178734	0
element_role_state	EG_yande_Y	1	yak_tei	yak_tei	exon_or_UTR	0.132067	0
element_role_state	EG_yande_Y	1	yak_tei	yak_tei	non_exonic_source	0.358996	1
element_role_state	EG_yande_Y	1	yak_tei	yak_tei	unknown	0.132067	0
element_role_state	EG_yande_Y	1	Dere	Dere	CDS	0	0
element_role_state	EG_yande_Y	1	Dere	Dere	absent	0	0
element_role_state	EG_yande_Y	1	Dere	Dere	exon_or_UTR	0	0
element_role_state	EG_yande_Y	1	Dere	Dere	non_exonic_source	1	1
element_role_state	EG_yande_Y	1	Dere	Dere	unknown	0	0
element_role_state	EG_yande_Y	1	jgw_clade	jgw_clade	CDS	0.702089	1
element_role_state	EG_yande_Y	1	jgw_clade	jgw_clade	absent	0.0128592	0
element_role_state	EG_yande_Y	1	jgw_clade	jgw_clade	exon_or_UTR	0.0950174	0
element_role_state	EG_yande_Y	1	jgw_clade	jgw_clade	non_exonic_source	0.0950174	0
element_role_state	EG_yande_Y	1	jgw_clade	jgw_clade	unknown	0.0950174	0
element_role_state	EG_yande_Y	1	Dyak	Dyak	CDS	1	1
element_role_state	EG_yande_Y	1	Dyak	Dyak	absent	0	0
element_role_state	EG_yande_Y	1	Dyak	Dyak	exon_or_UTR	0	0
element_role_state	EG_yande_Y	1	Dyak	Dyak	non_exonic_source	0	0
element_role_state	EG_yande_Y	1	Dyak	Dyak	unknown	0	0
element_role_state	EG_yande_Y	1	Dtei	Dtei	CDS	1	1
element_role_state	EG_yande_Y	1	Dtei	Dtei	absent	0	0
element_role_state	EG_yande_Y	1	Dtei	Dtei	exon_or_UTR	0	0
element_role_state	EG_yande_Y	1	Dtei	Dtei	non_exonic_source	0	0
element_role_state	EG_yande_Y	1	Dtei	Dtei	unknown	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	root	root	absent	0.725169	1
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	root	root	copy_variable	0.0080559	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	root	root	present	0.266775	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	mel_group	mel_group	absent	0.946499	1
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	mel_group	mel_group	copy_variable	0.00637746	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	mel_group	mel_group	present	0.0471234	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dmel	Dmel	absent	1	1
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dmel	Dmel	copy_variable	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dmel	Dmel	present	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dsim	Dsim	absent	1	1
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dsim	Dsim	copy_variable	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dsim	Dsim	present	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	yak_tei	yak_tei	absent	0.370575	1
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	yak_tei	yak_tei	copy_variable	0.0184498	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	yak_tei	yak_tei	present	0.610975	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dere	Dere	absent	1	1
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dere	Dere	copy_variable	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dere	Dere	present	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	jgw_clade	jgw_clade	absent	0.017868	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	jgw_clade	jgw_clade	copy_variable	0.00657326	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	jgw_clade	jgw_clade	present	0.975559	1
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dyak	Dyak	absent	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dyak	Dyak	copy_variable	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dyak	Dyak	present	1	1
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dtei	Dtei	absent	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dtei	Dtei	copy_variable	0	0
element_adjacency_state	EG_yande_Y__EG_Adh_A	2	Dtei	Dtei	present	1	1
source_mixture	jingwei	2	root	root	multi_source	0.106507	0
source_mixture	jingwei	2	root	root	single_source	0.786986	1
source_mixture	jingwei	2	root	root	unknown	0.106507	0
source_mixture	jingwei	2	mel_group	mel_group	multi_source	0.0158762	0
source_mixture	jingwei	2	mel_group	mel_group	single_source	0.866813	1
source_mixture	jingwei	2	mel_group	mel_group	unknown	0.11731	0
source_mixture	jingwei	2	Dmel	Dmel	multi_source	0	0
