family_id	layer	site_id	node_id	node_label	state	posterior_probability	model
rpl32_control	exon_role	EG_0003	Drosophila_yakuba	Drosophila_yakuba	exonic	1	ER
rpl32_control	exon_role	EG_0003	Drosophila_teissieri	Drosophila_teissieri	not_exonic	0	ER
rpl32_control	exon_role	EG_0003	Drosophila_teissieri	Drosophila_teissieri	exonic	1	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	root	root	absent	4.1924724e-13	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	root	root	present	1	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	mel_sim	mel_sim	absent	5.4291847e-19	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	mel_sim	mel_sim	present	1	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_melanogaster	Drosophila_melanogaster	absent	0	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_melanogaster	Drosophila_melanogaster	present	1	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_simulans	Drosophila_simulans	absent	0	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_simulans	Drosophila_simulans	present	1	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	yak_tei_ere	yak_tei_ere	absent	5.4291882e-19	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	yak_tei_ere	yak_tei_ere	present	1	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_erecta	Drosophila_erecta	absent	0	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_erecta	Drosophila_erecta	present	1	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	yak_tei	yak_tei	absent	2.714595e-19	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	yak_tei	yak_tei	present	1	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_yakuba	Drosophila_yakuba	absent	0	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_yakuba	Drosophila_yakuba	present	1	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_teissieri	Drosophila_teissieri	absent	0	ER
rpl32_control	splice_junction	JG_EG_0001__EG_0003	Drosophila_teissieri	Drosophila_teissieri	present	1	ER
