family_id	layer	site_id	parent_node	child_node	branch_scope	structural_change_type	structural_pattern	endpoint_change_probability	gain_endpoint_probability	loss_endpoint_probability	direction_probability	expected_gain_count	expected_loss_count	model	rate_test_status
rpl32_control	exon_role	EG_0003	root	mel_sim	root->mel_sim	exonic_role_gain	exonic_role_gain	1.3724026e-13	1.3724021e-13	5.0841905e-20	1.3724021e-13	2.0586029e-13	6.862013e-14	ER	parameters_not_estimable
rpl32_control	exon_role	EG_0003	root	yak_tei_ere	root->yak_tei_ere	exonic_role_gain	exonic_role_gain	1.3724026e-13	1.3724021e-13	5.0841924e-20	1.3724021e-13	2.0586029e-13	6.862013e-14	ER	parameters_not_estimable
rpl32_control	exon_role	EG_0003	mel_sim	Drosophila_melanogaster	mel_sim->Drosophila_melanogaster	exonic_role_gain	exonic_role_gain	1.0168383e-19	1.0168383e-19	0	1.0168383e-19	6.8620181e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_role	EG_0003	mel_sim	Drosophila_simulans	mel_sim->Drosophila_simulans	exonic_role_gain	exonic_role_gain	1.0168383e-19	1.0168383e-19	0	1.0168383e-19	6.8620181e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_role	EG_0003	yak_tei_ere	Drosophila_erecta	yak_tei_ere->Drosophila_erecta	exonic_role_gain	exonic_role_gain	1.0168387e-19	1.0168387e-19	0	1.0168387e-19	6.8620181e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_role	EG_0003	yak_tei_ere	yak_tei	yak_tei_ere->yak_tei	exonic_role_gain	exonic_role_gain	1.5252573e-19	1.0168383e-19	5.0841905e-20	1.0168383e-19	6.8620181e-14	6.862013e-14	ER	parameters_not_estimable
rpl32_control	exon_role	EG_0003	yak_tei	Drosophila_yakuba	yak_tei->Drosophila_yakuba	exonic_role_gain	exonic_role_gain	5.0841943e-20	5.0841943e-20	0	5.0841943e-20	6.862013e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	exon_role	EG_0003	yak_tei	Drosophila_teissieri	yak_tei->Drosophila_teissieri	exonic_role_gain	exonic_role_gain	5.0841943e-20	5.0841943e-20	0	5.0841943e-20	6.862013e-14	6.8620079e-14	ER	parameters_not_estimable
rpl32_control	splice_junction	JG_EG_0001__EG_0003	root	mel_sim	root->mel_sim	splice_junction_gain	exon_split_pattern	4.1924724e-13	4.1924697e-13	2.7145915e-19	4.1924697e-13	6.2887032e-13	2.0962362e-13	ER	parameters_not_estimable
rpl32_control	splice_junction	JG_EG_0001__EG_0003	root	yak_tei_ere	root->yak_tei_ere	splice_junction_gain	exon_split_pattern	4.1924724e-13	4.1924697e-13	2.7145932e-19	4.1924697e-13	6.2887032e-13	2.0962362e-13	ER	parameters_not_estimable
rpl32_control	splice_junction	JG_EG_0001__EG_0003	mel_sim	Drosophila_melanogaster	mel_sim->Drosophila_melanogaster	splice_junction_gain	exon_split_pattern	5.4291847e-19	5.4291847e-19	0	5.4291847e-19	2.0962389e-13	2.0962335e-13	ER	parameters_not_estimable
rpl32_control	splice_junction	JG_EG_0001__EG_0003	mel_sim	Drosophila_simulans	mel_sim->Drosophila_simulans	splice_junction_gain	exon_split_pattern	5.4291847e-19	5.4291847e-19	0	5.4291847e-19	2.0962389e-13	2.0962335e-13	ER	parameters_not_estimable
rpl32_control	splice_junction	JG_EG_0001__EG_0003	yak_tei_ere	Drosophila_erecta	yak_tei_ere->Drosophila_erecta	splice_junction_gain	exon_split_pattern	5.4291882e-19	5.4291882e-19	0	5.4291882e-19	2.0962389e-13	2.0962335e-13	ER	parameters_not_estimable
rpl32_control	splice_junction	JG_EG_0001__EG_0003	yak_tei_ere	yak_tei	yak_tei_ere->yak_tei	splice_junction_gain	exon_split_pattern	8.1437762e-19	5.4291847e-19	2.7145915e-19	5.4291847e-19	2.0962389e-13	2.0962362e-13	ER	parameters_not_estimable
rpl32_control	splice_junction	JG_EG_0001__EG_0003	yak_tei	Drosophila_yakuba	yak_tei->Drosophila_yakuba	splice_junction_gain	exon_split_pattern	2.714595e-19	2.714595e-19	0	2.714595e-19	2.0962362e-13	2.0962335e-13	ER	parameters_not_estimable
rpl32_control	splice_junction	JG_EG_0001__EG_0003	yak_tei	Drosophila_teissieri	yak_tei->Drosophila_teissieri	splice_junction_gain	exon_split_pattern	2.714595e-19	2.714595e-19	0	2.714595e-19	2.0962362e-13	2.0962335e-13	ER	parameters_not_estimable
