family_id	event_type	object_id	branch_scope	event_probability	change	alternative_explanation
sdic	adjacency_state_change	H_Anx_A__H_sw_S	root->Dmel	1	absent->present	annotation_gap_or_mapping_ambiguity_if_sequence_support_low
sdic	source_mixture_change	sdic	root->Dmel	1	single_source->multi_source	annotation_gap_or_mapping_ambiguity_if_sequence_support_low
sdic	copy_multiplicity_change	sdic	root->Dmel	1	single_copy->tandem_multi_copy	annotation_gap_or_mapping_ambiguity_if_sequence_support_low
sdic	source_join_candidate	Dmel_sdic_A_I	estimated_from_adjacency_state_history	NA	AnxB10_source->sw_intronic_source	paralogy_or_homology_assignment_error_if_low_support
sdic	source_join_candidate	Dmel_sdic_I_S	estimated_from_adjacency_state_history	NA	sw_intronic_source->sw_source	paralogy_or_homology_assignment_error_if_low_support
sdic	source_join_candidate	Dmel_sdic_A2_S2	estimated_from_adjacency_state_history	NA	AnxB10_source->sw_source	paralogy_or_homology_assignment_error_if_low_support
