family_id	event_class	structural_change_type	structural_pattern	call_scope	object_id	branch_scope	evidence_layer	support_tier	lrt_p_value	lrt_q_value	empirical_p_value	fitted_rate	ctmc_change_probability	stochastic_pr_any_change	evidence_count	alternative_explanation
sdic	element_role_shift	element_role_shift	element_role_shift	core_structural_event	EG_sdic_I	mel_sim->Dsim	element_role_state	high	3.45702e-07	1.03079e-06	0.166667	1	0.953183	1	7	annotation_gap_or_mapping_ambiguity_if_sequence_support_low
sdic	segment_fusion_or_new_adjacency	segment_fusion_or_new_adjacency	segment_fusion_or_new_adjacency	core_structural_event	EG_Anx_A__EG_sw_S	root->Dmel	element_adjacency_state	high	2.37302e-07	1.03079e-06	0.166667	0.65	0.597647	0.8	7	annotation_gap_or_mapping_ambiguity_if_sequence_support_low
sdic	chimeric_origin_or_source_mixing	chimeric_origin_or_source_mixing	chimeric_origin_or_source_mixing	core_structural_event	sdic	root->Dmel	source_mixture	high	3.86546e-07	1.03079e-06	0.166667	0.65	0.568065	0.2	7	annotation_gap_or_mapping_ambiguity_if_sequence_support_low
sdic	copy_duplication_or_expansion	copy_duplication_or_expansion	copy_duplication_or_expansion	copy_context	sdic	root->Dmel	copy_multiplicity	high	5.68206e-07	1.13641e-06	0.166667	0.4	0.789783	0.8	7	annotation_gap_or_mapping_ambiguity_if_sequence_support_low
sdic	chimeric_source_join_candidate	chimeric_source_join_candidate	chimeric_source_join_candidate	core_structural_event	EG_Anx_A__EG_sw_S	root->Dmel	element_adjacency_state	high	2.37302e-07	1.03079e-06	0.166667	0.65	0.597647	0.8	7	paralogy_or_homology_assignment_error_if_low_support
sdic	sequence_supported_annotation_gap	sequence_supported_annotation_gap	sequence_supported_annotation_gap	annotation_evidence	EG_sdic_I	tip_or_alignment_evidence_requires_phylogenetic_context	annotation_completion	moderate	NA	NA	NA	NA	NA	NA	2	annotation_dropout_or_shifted_boundary_if_sequence_support_is_partial
